name	slug	count	level	parent_name	parent_slug	path	name_raw												
Manchester United	man-utd-replica-football-shirt	101	1	Premier League	premier-league-replica-football-shirt	premier-league-replica-football-shirt/man-utd-replica-football-shirt	— Manchester United												
Manuel Peter Neuer	neuer-1	0	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/neuer-1	— Manuel Peter Neuer												
Marc-André ter Stegen	ter-stegen-1	0	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/ter-stegen-1	— Marc-André ter Stegen												
Marcus Rashford’s	rashford-10-replica-football-shirt	0	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/rashford-10-replica-football-shirt	— Marcus Rashford’s												
Martin Řdegaard	odegaard-8-famous-replica-football-players-printed	11	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/odegaard-8-famous-replica-football-players-printed	— Martin Řdegaard												
Mason Tony Mount	mount-19-replica-football-shirt	0	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/mount-19-replica-football-shirt	— Mason Tony Mount												
Matheus Santos Carneiro da Cunha	cunha-10	9	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/cunha-10	— Matheus Santos Carneiro da Cunha												
Memphis Grizzlies	memphis-10	2	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/memphis-10	— Memphis Grizzlies												
Mexico	mexico-north-america	21	2	NORTH AMERICA	north-america	international-teams/north-america/mexico-north-america	— — Mexico												
Micky van de Ven	van-de-ven-37	10	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/van-de-ven-37	— Micky van de Ven												
Middlesbrough	middlesbrough	8	1	Other Clubs	other-clubs	other-clubs/middlesbrough	— Middlesbrough												
Minnesota	minnesota	1	1	Other Clubs	other-clubs	other-clubs/minnesota	— Minnesota												
Mohamed Abdelsalam Marmoush	marmoush-7	4	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/marmoush-7	— Mohamed Abdelsalam Marmoush												
Mohamed Salah	salah-11-replica-football-shirt	0	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/salah-11-replica-football-shirt	— Mohamed Salah												
Mohammed Kudus	kudus-14	13	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/kudus-14	— Mohammed Kudus												
Morocco	morocco	3	2	AFRICA / MIDDLE EAST	africa-middle-east	international-teams/africa-middle-east/morocco	— — Morocco												
Netherlands	netherlands-europe	16	2	EUROPE	europe	international-teams/europe/netherlands-europe	— — Netherlands												
New Arrivals	new-arrivals-replica-football-shirt	184	0			new-arrivals-replica-football-shirt	New Arrivals												
New Arrivals 25/26	new-arrivals-25-26	542	0			new-arrivals-25-26	New Arrivals 25/26												
New England Revolution	new-england-revolution	1	1	Other Clubs	other-clubs	other-clubs/new-england-revolution	— New England Revolution												
New York City	new-york-city	1	1	Other Clubs	other-clubs	other-clubs/new-york-city	— New York City												
Newcastle	newcastle	0	1	Premier League	premier-league-replica-football-shirt	premier-league-replica-football-shirt/newcastle	— Newcastle												
Neymar da Silva Santos Júnior (10)	neymar-10-replica-football-shirt	3	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/neymar-10-replica-football-shirt	— Neymar da Silva Santos Júnior (10)												
Neymar Júnior	neymar-jr-11	1	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/neymar-jr-11	— Neymar Júnior												
Nigeria	nigeria-africa-middle-east	9	2	AFRICA / MIDDLE EAST	africa-middle-east	international-teams/africa-middle-east/nigeria-africa-middle-east	— — Nigeria												
NORTH AMERICA	north-america	34	1	International Teams	international-teams	international-teams/north-america	— NORTH AMERICA												
Northern Ireland	northern-ireland-europe	7	2	EUROPE	europe	international-teams/europe/northern-ireland-europe	— — Northern Ireland												
Norway	norway-europe	8	2	EUROPE	europe	international-teams/europe/norway-europe	— — Norway												
Nottingham Forest	nottingham-forest-replica-football-shirt	27	1	Premier League	premier-league-replica-football-shirt	premier-league-replica-football-shirt/nottingham-forest-replica-football-shirt	— Nottingham Forest												
Oliver George Arthur Watkins	watkins-11	8	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/watkins-11	— Oliver George Arthur Watkins												
Olympique Lyonnais	olympique-lyonnais-football-shirt	10	1	Ligue 1	ligue-1-replica-football-shirt	ligue-1-replica-football-shirt/olympique-lyonnais-football-shirt	— Olympique Lyonnais												
Olympique Marseille	olympique-marseille-replica-football-shirt	26	1	Ligue 1	ligue-1-replica-football-shirt	ligue-1-replica-football-shirt/olympique-marseille-replica-football-shirt	— Olympique Marseille												
Orlando City	orlando-city	1	1	Other Clubs	other-clubs	other-clubs/orlando-city	— Orlando City												
Other Clubs	other-clubs	282	0			other-clubs	Other Clubs												
Ousmane Dembélé	ousmane-dembele	0	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/ousmane-dembele	— Ousmane Dembélé												
Pablo Martín Páez Gavira	pablo-martin-paez-gavira	0	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/pablo-martin-paez-gavira	— Pablo Martín Páez Gavira												
Palestine	palestine-africa-middle-east	5	2	AFRICA / MIDDLE EAST	africa-middle-east	international-teams/africa-middle-east/palestine-africa-middle-east	— — Palestine												
Palmeiras	palmeiras	4	1	Other Clubs	other-clubs	other-clubs/palmeiras	— Palmeiras												
Palmeiras	palmeiras-world-cup-2022-replica-shirt	4	0			palmeiras-world-cup-2022-replica-shirt	Palmeiras												
Paris Saint-Germain	psg-replica-football-shirt	10	1	Ligue 1	ligue-1-replica-football-shirt	ligue-1-replica-football-shirt/psg-replica-football-shirt	— Paris Saint-Germain												
Pedro González López	pedro-gonzalez-lopez	0	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/pedro-gonzalez-lopez	— Pedro González López												
Philip Walter Foden	foden-47-replica-football-shirt	16	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/foden-47-replica-football-shirt	— Philip Walter Foden												
Pierre-Emile Hřjbjerg	hojbjerg-5-replica-football-shirt	0	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/hojbjerg-5-replica-football-shirt	— Pierre-Emile Hřjbjerg												
Players	famous-replica-football-players-printed	542	0			famous-replica-football-players-printed	Players												
Poland	poland-europe	5	2	EUROPE	europe	international-teams/europe/poland-europe	— — Poland												
Portland Timbers	portland-timbers	1	1	Other Clubs	other-clubs	other-clubs/portland-timbers	— Portland Timbers												
Portsmouth	portsmouth	7	1	Other Clubs	other-clubs	other-clubs/portsmouth	— Portsmouth												
Portugal	portugal-europe	59	2	EUROPE	europe	international-teams/europe/portugal-europe	— — Portugal												
Premier League	premier-league-replica-football-shirt	740	0			premier-league-replica-football-shirt	Premier League												
Primeira Liga	primeira-liga	32	0			primeira-liga	Primeira Liga												
PSV	psv-other	0	1	Other Clubs	other-clubs	other-clubs/psv-other	— PSV												
Qatar	qatar-africa-middle-east	2	2	AFRICA / MIDDLE EAST	africa-middle-east	international-teams/africa-middle-east/qatar-africa-middle-east	— — Qatar												
Qatar	qatar	2	0			qatar	Qatar												
Queen Park Rangers	queen-park-rangers	3	1	Other Clubs	other-clubs	other-clubs/queen-park-rangers	— Queen Park Rangers												
Rafael Alexandre da Conceiçăo Leăo	rafa-leao-10	6	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/rafa-leao-10	— Rafael Alexandre da Conceiçăo Leăo												
Raheem Shaquille Sterling	sterling-7	0	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/sterling-7	— Raheem Shaquille Sterling												
Ramos García	ramos-4	0	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/ramos-4	— Ramos García												
Rangers	rangers	18	1	Other Clubs	other-clubs	other-clubs/rangers	— Rangers												
Raphinha	raphinha	0	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/raphinha	— Raphinha												
Rasmus Hřjlund	hojlund-11	5	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/hojlund-11	— Rasmus Hřjlund												
Rayan Cherki	rayan-cherki	6	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/rayan-cherki	— Rayan Cherki												
Rayo Vallecano	rayo-vallecano	0	1	Other Clubs	other-clubs	other-clubs/rayo-vallecano	— Rayo Vallecano												
RB Leipzig	rb-leipzig	13	1	Bundesliga	bundesliga-replica-football-shirt	bundesliga-replica-football-shirt/rb-leipzig	— RB Leipzig												
RC Lens	rc-lens	1	1	Other Clubs	other-clubs	other-clubs/rc-lens	— RC Lens												
Real Betis	real-betis-replica-football-shirt	19	1	La Liga	la-liga-replica-football-shirt	la-liga-replica-football-shirt/real-betis-replica-football-shirt	— Real Betis												
Real Madrid	real-madrid-replica-football-shirt	129	1	La Liga	la-liga-replica-football-shirt	la-liga-replica-football-shirt/real-madrid-replica-football-shirt	— Real Madrid												
Recife	recife	0	1	Other Clubs	other-clubs	other-clubs/recife	— Recife												
Replica football shirts of Inter Miami Away Football Club	away	9	2	Inter Miami	inter-miami	other-clubs/inter-miami/away	— — Replica football shirts of Inter Miami Away Football Club												
Retro AC Milan	retro-ac-milan	20	1	Retro Shirts & Kits	retro-shirts-kits	retro-shirts-kits/retro-ac-milan	— Retro AC Milan												
Retro ACF Fiorentina	retro-acf-fiorentina	3	1	Retro Shirts & Kits	retro-shirts-kits	retro-shirts-kits/retro-acf-fiorentina	— Retro ACF Fiorentina												
Retro Argentina	retro-argentina	15	1	Retro Shirts & Kits	retro-shirts-kits	retro-shirts-kits/retro-argentina	— Retro Argentina												
Retro Arsenal	retro-arsenal	7	1	Retro Shirts & Kits	retro-shirts-kits	retro-shirts-kits/retro-arsenal	— Retro Arsenal												
Retro AS Roma Replica Football Shirts & Kit	retro-as-roma	0	1	Retro Shirts & Kits	retro-shirts-kits	retro-shirts-kits/retro-as-roma	— Retro AS Roma Replica Football Shirts & Kit												
Retro Aston Villa	retro-aston-villa	1	1	Retro Shirts & Kits	retro-shirts-kits	retro-shirts-kits/retro-aston-villa	— Retro Aston Villa												
Retro Athletic Club Bilbao	retro-athletic-club-bilbao	1	1	Retro Shirts & Kits	retro-shirts-kits	retro-shirts-kits/retro-athletic-club-bilbao	— Retro Athletic Club Bilbao												
Retro Atletico de Madrid	retro-atletico-de-madrid	0	1	Retro Shirts & Kits	retro-shirts-kits	retro-shirts-kits/retro-atletico-de-madrid	— Retro Atletico de Madrid												
Retro Barcelona	retro-barcelona	6	1	Retro Shirts & Kits	retro-shirts-kits	retro-shirts-kits/retro-barcelona	— Retro Barcelona												
Retro Bayern Munich	retro-bayern-munich	0	1	Retro Shirts & Kits	retro-shirts-kits	retro-shirts-kits/retro-bayern-munich	— Retro Bayern Munich												
Retro Brazil	retro-brazil	10	1	Retro Shirts & Kits	retro-shirts-kits	retro-shirts-kits/retro-brazil	— Retro Brazil												
Retro Chelsea	retro-chelsea	8	1	Retro Shirts & Kits	retro-shirts-kits	retro-shirts-kits/retro-chelsea	— Retro Chelsea												
Retro Cork City	retro-cork-city	1	1	Retro Shirts & Kits	retro-shirts-kits	retro-shirts-kits/retro-cork-city	— Retro Cork City												
Retro Denmark	retro-denmark	3	1	Retro Shirts & Kits	retro-shirts-kits	retro-shirts-kits/retro-denmark	— Retro Denmark												
Retro Deportivo de La Coruńa	retro-deportivo-de-la-coruna	0	1	Retro Shirts & Kits	retro-shirts-kits	retro-shirts-kits/retro-deportivo-de-la-coruna	— Retro Deportivo de La Coruńa												
Retro Dortmund	retro-dortmund	0	1	Retro Shirts & Kits	retro-shirts-kits	retro-shirts-kits/retro-dortmund	— Retro Dortmund												
Retro England	retro-england	24	1	Retro Shirts & Kits	retro-shirts-kits	retro-shirts-kits/retro-england	— Retro England												
Retro Fluminense	retro-fluminense	3	1	Retro Shirts & Kits	retro-shirts-kits	retro-shirts-kits/retro-fluminense	— Retro Fluminense												
Retro France	retro-france	4	1	Retro Shirts & Kits	retro-shirts-kits	retro-shirts-kits/retro-france	— Retro France												
Retro Germany	retro-germany	9	1	Retro Shirts & Kits	retro-shirts-kits	retro-shirts-kits/retro-germany	— Retro Germany												
Retro Inter Milan	retro-inter-milan	0	1	Retro Shirts & Kits	retro-shirts-kits	retro-shirts-kits/retro-inter-milan	— Retro Inter Milan												
Retro Italy Replica Football Shirts & Kit	retro-italy	1	1	Retro Shirts & Kits	retro-shirts-kits	retro-shirts-kits/retro-italy	— Retro Italy Replica Football Shirts & Kit												
Retro Juventus	retro-juventus	6	1	Retro Shirts & Kits	retro-shirts-kits	retro-shirts-kits/retro-juventus	— Retro Juventus												
Retro LA Galaxy	retro-la-galaxy-retro-shirts-kits	2	1	Retro Shirts & Kits	retro-shirts-kits	retro-shirts-kits/retro-la-galaxy-retro-shirts-kits	— Retro LA Galaxy												
Retro Lazio	retro-lazio	2	1	Retro Shirts & Kits	retro-shirts-kits	retro-shirts-kits/retro-lazio	— Retro Lazio												
Retro Leicester City	retro-leicester-city	1	1	Retro Shirts & Kits	retro-shirts-kits	retro-shirts-kits/retro-leicester-city	— Retro Leicester City												
Retro Manchester City	retro-manchester-city	7	1	Retro Shirts & Kits	retro-shirts-kits	retro-shirts-kits/retro-manchester-city	— Retro Manchester City												
Retro Manchester United	retro-manchester-united	70	1	Retro Shirts & Kits	retro-shirts-kits	retro-shirts-kits/retro-manchester-united	— Retro Manchester United												
Retro Mexico	retro-mexico	1	1	Retro Shirts & Kits	retro-shirts-kits	retro-shirts-kits/retro-mexico	— Retro Mexico												
Retro Netherlands	retro-netherlands	2	1	Retro Shirts & Kits	retro-shirts-kits	retro-shirts-kits/retro-netherlands	— Retro Netherlands												
Retro Newcastle	retro-newcastle	0	1	Retro Shirts & Kits	retro-shirts-kits	retro-shirts-kits/retro-newcastle	— Retro Newcastle												
Retro Paris Saint Germain	retro-paris-saint-germain	0	1	Retro Shirts & Kits	retro-shirts-kits	retro-shirts-kits/retro-paris-saint-germain	— Retro Paris Saint Germain												
Retro Parma Calcio	retro-parma-calcio	1	1	Retro Shirts & Kits	retro-shirts-kits	retro-shirts-kits/retro-parma-calcio	— Retro Parma Calcio												
Retro Portugal	retro-portugal	7	1	Retro Shirts & Kits	retro-shirts-kits	retro-shirts-kits/retro-portugal	— Retro Portugal												
Retro Real Betis	retro-real-betis	1	1	Retro Shirts & Kits	retro-shirts-kits	retro-shirts-kits/retro-real-betis	— Retro Real Betis												
Retro Real Madrid	retro-real-madrid	43	1	Retro Shirts & Kits	retro-shirts-kits	retro-shirts-kits/retro-real-madrid	— Retro Real Madrid												
Retro Santos FC	retro-santos-fc	1	1	Retro Shirts & Kits	retro-shirts-kits	retro-shirts-kits/retro-santos-fc	— Retro Santos FC												
Retro Shirts & Kits	retro-shirts-kits	285	0			retro-shirts-kits	Retro Shirts & Kits												
Retro Spain	retro-spain	4	1	Retro Shirts & Kits	retro-shirts-kits	retro-shirts-kits/retro-spain	— Retro Spain												
Retro Tottenham Hotspur	retro-tottenham-hotspur	6	1	Retro Shirts & Kits	retro-shirts-kits	retro-shirts-kits/retro-tottenham-hotspur	— Retro Tottenham Hotspur												
Retro Trophy Fan	retro-trophy-fan	8	1	Retro Shirts & Kits	retro-shirts-kits	retro-shirts-kits/retro-trophy-fan	— Retro Trophy Fan												
Retro Wales	retro-wales	1	1	Retro Shirts & Kits	retro-shirts-kits	retro-shirts-kits/retro-wales	— Retro Wales												
Retro West Ham United	retro-west-ham-united	1	1	Retro Shirts & Kits	retro-shirts-kits	retro-shirts-kits/retro-west-ham-united	— Retro West Ham United												
Ritsu D?an	ritsu-doan	2	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/ritsu-doan	— Ritsu D?an												
River Plate	river-plate	1	1	Other Clubs	other-clubs	other-clubs/river-plate	— River Plate												
Robert Lewandowski	lewandowski-9	0	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/lewandowski-9	— Robert Lewandowski												
Rodrigo De Paul	rodrigo-de-paul	4	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/rodrigo-de-paul	— Rodrigo De Paul												
Romelu Lukaku	lukaku-11	10	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/lukaku-11	— Romelu Lukaku												
Russia	russia-europe	1	2	EUROPE	europe	international-teams/europe/russia-europe	— — Russia												
Russia	russia	11	0			russia	Russia												
Rúben Dias	ruben-dias	6	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/ruben-dias	— Rúben Dias												
Santiago Giménez	santiago-gimenez	2	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/santiago-gimenez	— Santiago Giménez												
Santos FC	santos-fc	6	1	Other Clubs	other-clubs	other-clubs/santos-fc	— Santos FC												
Saudi Arabia	saudi-arabia-africa-middle-east	1	2	AFRICA / MIDDLE EAST	africa-middle-east	international-teams/africa-middle-east/saudi-arabia-africa-middle-east	— — Saudi Arabia												
Saudi Arabia	saudi-arabia	1	0			saudi-arabia	Saudi Arabia												
Scotland	scotland-europe	13	2	EUROPE	europe	international-teams/europe/scotland-europe	— — Scotland												
Scotland	scotland-world-cup-2022-replica-shirt	22	0			scotland-world-cup-2022-replica-shirt	Scotland												
Scott Francis McTominay	mc-tominay-8	11	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/mc-tominay-8	— Scott Francis McTominay												
Senegal	senegal-africa-middle-east	2	2	AFRICA / MIDDLE EAST	africa-middle-east	international-teams/africa-middle-east/senegal-africa-middle-east	— — Senegal												
Senne Lammens	senne-lammens	2	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/senne-lammens	— Senne Lammens												
Serie A	serie-a-replica-football-shirt	132	0			serie-a-replica-football-shirt	Serie A												
Sevilla	sevilla	0	1	La Liga	la-liga-replica-football-shirt	la-liga-replica-football-shirt/sevilla	— Sevilla												
Sheffield United	sheffield-united-replica-football-shirt	25	1	Premier League	premier-league-replica-football-shirt	premier-league-replica-football-shirt/sheffield-united-replica-football-shirt	— Sheffield United												
Sheffield Wednesday	sheffield-wednesday	4	1	Other Clubs	other-clubs	other-clubs/sheffield-wednesday	— Sheffield Wednesday												
Socks	socks	2	0			socks	Socks												
Son Heung-min	son-7-replica-football-shirt	9	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/son-7-replica-football-shirt	— Son Heung-min												
SOUTH AMERICA	south-america	102	1	International Teams	international-teams	international-teams/south-america	— SOUTH AMERICA												
South Korea	south-korea-asia	5	2	ASIA	asia	international-teams/asia/south-korea-asia	— — South Korea												
Southampton	southampton-replica-football-shirt	25	1	Premier League	premier-league-replica-football-shirt	premier-league-replica-football-shirt/southampton-replica-football-shirt	— Southampton												
Spain	spain-europe	27	2	EUROPE	europe	international-teams/europe/spain-europe	— — Spain												
Spain	spain-world-cup-2022-replica-shirt	4	0			spain-world-cup-2022-replica-shirt	Spain												
Sporting CP	sporting-cp	14	1	Primeira Liga	primeira-liga	primeira-liga/sporting-cp	— Sporting CP												
SSC Napoli	ssc-napoli	46	1	Serie A	serie-a-replica-football-shirt	serie-a-replica-football-shirt/ssc-napoli	— SSC Napoli												
Sunderland	sunderland-premier-league-replica-football-shirt	16	1	Premier League	premier-league-replica-football-shirt	premier-league-replica-football-shirt/sunderland-premier-league-replica-football-shirt	— Sunderland												
Swansea City	swansea-city	6	1	Other Clubs	other-clubs	other-clubs/swansea-city	— Swansea City												
Sweden	sweden-europe	5	2	EUROPE	europe	international-teams/europe/sweden-europe	— — Sweden												
Sweden	sweden	14	0			sweden	Sweden												
Switzerland	switzerland-europe	4	2	EUROPE	europe	international-teams/europe/switzerland-europe	— — Switzerland												
Săo Paulo	sao-paulo-other	1	1	Other Clubs	other-clubs	other-clubs/sao-paulo-other	— Săo Paulo												
Third	third-inter-miami	3	2	Inter Miami	inter-miami	other-clubs/inter-miami/third-inter-miami	— — Third												
Thomas Müller (13)	muller-13	2	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/muller-13	— Thomas Müller (13)												
Top new arrival shirts	top-new-arrival-shirts	372	0			top-new-arrival-shirts	Top new arrival shirts												
Tottenham Hotspur	tottenham-replica-football-shirt	84	1	Premier League	premier-league-replica-football-shirt	premier-league-replica-football-shirt/tottenham-replica-football-shirt	— Tottenham Hotspur												
Trent John Alexander-Arnold	alexander-arnold-8	4	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/alexander-arnold-8	— Trent John Alexander-Arnold												
Trophy Fan	trophy-fan-replica-football-shirt	11	1	Premier League	premier-league-replica-football-shirt	premier-league-replica-football-shirt/trophy-fan-replica-football-shirt	— Trophy Fan												
Turkey	turkey-europe	2	2	EUROPE	europe	international-teams/europe/turkey-europe	— — Turkey												
Twente	twente	1	1	Other Clubs	other-clubs	other-clubs/twente	— Twente												
Ukraine	ukraine	1	2	EUROPE	europe	international-teams/europe/ukraine	— — Ukraine												
Uruguay	uruguay-south-america	3	2	SOUTH AMERICA	south-america	international-teams/south-america/uruguay-south-america	— — Uruguay												
Uruguay	uruguay	11	0			uruguay	Uruguay												
USA	usa-north-america	13	2	NORTH AMERICA	north-america	international-teams/north-america/usa-north-america	— — USA												
USA	usa	13	0			usa	USA												
VfL Wolfsburg	vfl-wolfsburg-replica-football-shirt	17	1	Bundesliga	bundesliga-replica-football-shirt	bundesliga-replica-football-shirt/vfl-wolfsburg-replica-football-shirt	— VfL Wolfsburg												
Victor James Osimhen	osimhen-9	0	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/osimhen-9	— Victor James Osimhen												
Viktor Gyökeres’s	gyokeres-9	10	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/gyokeres-9	— Viktor Gyökeres’s												
Vinícius José Paixăo de Oliveira Júnior	vini-jr-7	12	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/vini-jr-7	— Vinícius José Paixăo de Oliveira Júnior												
Virgil van Dijk	virgil-4	0	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/virgil-4	— Virgil van Dijk												
Wales	wales-europe	10	2	EUROPE	europe	international-teams/europe/wales-europe	— — Wales												
Wales	wales-world-cup-2022-replica-shirt	8	0			wales-world-cup-2022-replica-shirt	Wales												
Watford	watford-replica-football-shirt	1	1	Premier League	premier-league-replica-football-shirt	premier-league-replica-football-shirt/watford-replica-football-shirt	— Watford												
Werder Bremen	werder-bremen	1	1	Bundesliga	bundesliga-replica-football-shirt	bundesliga-replica-football-shirt/werder-bremen	— Werder Bremen												
West Bromwich	west-bromwich-replica-football-shirt	23	1	Premier League	premier-league-replica-football-shirt	premier-league-replica-football-shirt/west-bromwich-replica-football-shirt	— West Bromwich												
Westham United	westham-replica-football-shirt	48	1	Premier League	premier-league-replica-football-shirt	premier-league-replica-football-shirt/westham-replica-football-shirt	— Westham United												
Wolves	wolves-replica-football-shirt	27	1	Premier League	premier-league-replica-football-shirt	premier-league-replica-football-shirt/wolves-replica-football-shirt	— Wolves												
WORLD CUP 2026	world-cup-2026	58	1	International Teams	international-teams	international-teams/world-cup-2026	— WORLD CUP 2026												
Wrexham	wrexham	4	1	Other Clubs	other-clubs	other-clubs/wrexham	— Wrexham												
Xavi Simons	xavi-simons	6	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/xavi-simons	— Xavi Simons												
Ángel Fabián Di María	di-maria-11	4	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/di-maria-11	— Ángel Fabián Di María												
Šeško	sesko	3	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/sesko	— Šeško												
?? Birthday Gift Bundles	football-gift-bundles	55	0			football-gift-bundles	?? Birthday Gift Bundles												
